Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
WPM,114.87,2026-06-12,4,Call,129.00,-12.30%,0.1,0.2,199,1231,-30.84%,0.16,64.88%,0.047525,2026-06-08
NVDA,208.64,2026-06-12,4,Call,195.00,+6.54%,13.9,14.4,1943,1214,-30.75%,1.6,48.63%,0.913305,2026-06-08
CRCL,82.53,2027-06-17,374,Call,115.00,-39.34%,20.3,22.4,3,1701,-30.66%,0,89.54%,0.552001,2026-06-08
OSCR,27.39,2026-06-18,10,Call,25.50,+6.90%,2.57,3.05,270,1024,-30.62%,0.26,96.50%,0.703265,2026-06-08
INTC,110.27,2026-06-26,18,Call,180.00,-63.24%,0.3,0.41,45,7221,-30.49%,0.01,113.59%,0.035126,2026-06-08
CRCL,82.53,2026-06-18,10,Put,125.00,+51.46%,41.85,43.9,23,4083,-30.41%,0.01,149.40%,-0.941265,2026-06-08
KEEL,5.66,2026-07-17,39,Put,6.00,+6.01%,0.78,1.14,26,1848,-30.24%,0.01,104.61%,-0.496601,2026-06-08
MSFT,411.74,2026-09-18,102,Call,600.00,-45.72%,1.51,1.78,174,4611,-30.14%,0.04,39.71%,0.049212,2026-06-08
COHR,401.93,2026-06-12,4,Put,250.00,-37.80%,0,0.25,1,1416,-30.04%,0,182.31%,-0.004873,2026-06-08
ASPI,6.83,2026-07-17,39,Call,9.00,-31.77%,0.4,0.5,21,7499,-29.94%,0,121.42%,0.313208,2026-06-08
SHOP,110.78,2026-07-17,39,Call,150.00,-35.40%,0.67,0.95,79,7172,-29.85%,0.01,62.10%,0.085017,2026-06-08
IREN,59.19,2026-07-17,39,Call,75.00,-26.71%,3.5,3.65,665,4956,-29.83%,0.13,108.22%,0.315171,2026-06-08
NVDA,208.64,2026-08-21,74,Call,350.00,-67.75%,0.32,0.35,43,3514,-29.82%,0.01,52.17%,0.020062,2026-06-08
RGTI,21.76,2026-07-17,39,Call,40.00,-83.82%,0.34,0.74,173,1606,-29.72%,0.11,137.66%,0.131641,2026-06-08
MAR,391.42,2026-06-18,10,Call,370.00,+5.47%,23,26.3,9,1431,-29.65%,0.01,41.33%,0.807296,2026-06-08
VSH,57.22,2026-06-18,10,Call,75.00,-31.07%,0.7,1.4,67,1699,-29.62%,0.04,146.17%,0.160034,2026-06-08
MSTR,127.2,2026-06-18,10,Put,190.00,+49.37%,61.65,63.6,13,1145,-29.45%,0.01,0.00%,0,2026-06-08
FRMI,5.7,2026-06-12,4,Put,6.50,+14.04%,0.85,1.1,1,1016,-29.35%,0,186.19%,-0.717449,2026-06-08
RCL,272,2026-07-17,39,Call,290.00,-6.62%,10.6,11.1,3020,4461,-29.31%,0.68,50.11%,0.381448,2026-06-08
AMD,490.33,2026-06-12,4,Put,470.00,-4.15%,8.95,9.4,1844,1786,-29.24%,1.03,87.60%,-0.304506,2026-06-08
META,585.39,2026-06-12,4,Call,650.00,-11.04%,0.38,0.41,1703,6132,-29.10%,0.28,52.93%,0.03178,2026-06-08
WOLF,55.42,2026-06-18,10,Call,55.00,+0.76%,5.2,6.15,327,1032,-29.07%,0.32,149.53%,0.56297,2026-06-08
PURR,8.92,2026-06-18,10,Call,14.00,-56.95%,0,0.1,62,1160,-28.88%,0.05,157.64%,0.05555,2026-06-08
HD,309.71,2026-09-18,102,Call,380.00,-22.70%,2.51,2.73,27,1543,-28.86%,0.02,30.15%,0.115878,2026-06-08
BTDR,18.49,2026-06-18,10,Put,12.00,-35.10%,0,0.2,5,3281,-28.77%,0,166.08%,-0.043314,2026-06-08
FIG,21.1,2026-07-17,39,Put,22.50,+6.64%,3,3.2,109,2093,-28.44%,0.05,84.14%,-0.534384,2026-06-08
MU,949.28,2026-06-18,10,Put,650.00,-31.53%,2.85,3.15,218,4840,-28.23%,0.05,133.30%,-0.033552,2026-06-08
POET,12.28,2026-07-17,39,Call,15.00,-22.15%,1.15,1.26,1326,10961,-28.14%,0.12,130.65%,0.402952,2026-06-08
HNGE,62.86,2026-07-17,39,Call,75.00,-19.31%,1.15,1.65,214,1925,-28.06%,0.11,60.07%,0.217415,2026-06-08
IOT,34.06,2026-06-18,10,Call,39.00,-14.50%,0.25,0.6,7,1330,-27.99%,0.01,82.42%,0.179468,2026-06-08
COIN,162.11,2026-06-12,4,Call,180.00,-11.04%,0.89,0.94,6443,2037,-27.71%,3.16,85.35%,0.130816,2026-06-08
TTD,19.43,2026-09-18,102,Call,22.50,-15.80%,2.2,2.26,623,3444,-27.66%,0.18,79.54%,0.454521,2026-06-08
FPS,59.32,2026-07-17,39,Call,65.00,-9.58%,4.1,4.6,384,6274,-27.64%,0.06,83.33%,0.426633,2026-06-08
HIMS,27.17,2026-06-26,18,Call,30.00,-10.42%,0.99,1.1,459,2906,-27.40%,0.16,85.36%,0.337759,2026-06-08
AMZN,245.22,2026-06-18,10,Call,270.00,-10.11%,0.33,0.34,2074,27623,-27.23%,0.08,35.52%,0.055807,2026-06-08
CRWV,102.37,2026-07-17,39,Call,170.00,-66.06%,0.7,0.85,71,1560,-27.20%,0.05,92.21%,0.06439,2026-06-08
NXE,10.4,2026-06-18,10,Put,10.00,-3.85%,0.25,0.4,34,12860,-27.01%,0,74.81%,-0.349926,2026-06-08
TSLA,408.95,2026-06-12,4,Put,450.00,+10.04%,41.45,42,1226,1078,-26.87%,1.14,60.69%,-0.930704,2026-06-08
GLIBK,20.77,2026-10-16,130,Call,25.00,-20.37%,0.8,2,3000,7135,-26.71%,0.42,54.92%,0.358749,2026-06-08
AMD,490.33,2028-06-16,739,Call,660.00,-34.60%,154,163,2,1472,-26.58%,0,71.18%,0.616187,2026-06-08
BMNR,16.85,2026-06-18,10,Put,14.00,-16.91%,0.11,0.13,178,1128,-26.37%,0.16,90.95%,-0.094774,2026-06-08
EH,8.71,2026-06-18,10,Put,8.00,-8.15%,0.25,0.4,136,3073,-26.36%,0.04,112.40%,-0.28954,2026-06-08
AMD,490.33,2026-07-17,39,Call,550.00,-12.17%,24.65,25.4,468,2580,-26.26%,0.18,71.80%,0.361257,2026-06-08
BB,9.29,2026-06-18,10,Call,9.50,-2.26%,0.47,0.57,704,3010,-26.24%,0.23,99.32%,0.480953,2026-06-08
PACS,35.07,2027-01-15,221,Call,15.00,+57.23%,21,21.9,2046,6481,-26.11%,0.32,98.10%,0.936301,2026-06-08
RBLX,42.3,2026-06-18,10,Call,50.00,-18.20%,0.28,0.29,1450,7838,-26.08%,0.18,78.60%,0.112593,2026-06-08
GLXY,30.51,2026-06-18,10,Call,32.50,-6.52%,1.38,1.76,606,5453,-26.02%,0.11,116.81%,0.410968,2026-06-08
SMTC,158.79,2026-07-17,39,Call,170.00,-7.06%,13.2,15.4,7,1150,-26.00%,0.01,89.67%,0.471033,2026-06-08
GOOG,361.17,2026-06-18,10,Call,380.00,-5.21%,1.99,2.25,893,6558,-25.98%,0.14,33.85%,0.194192,2026-06-08
MRVL,288.85,2026-06-18,10,Put,250.00,-13.45%,6.05,6.6,1306,1665,-25.90%,0.78,113.41%,-0.192683,2026-06-08
CPNG,15.18,2026-06-18,10,Put,15.00,-1.19%,0.51,0.57,51,4237,-25.67%,0.01,63.48%,-0.431016,2026-06-08
RKT,12.35,2026-06-12,4,Put,13.00,+5.26%,0.72,0.94,134,2413,-25.46%,0.06,81.80%,-0.710032,2026-06-08
HPE,49.87,2026-09-18,102,Call,65.00,-30.34%,3.05,3.45,315,4050,-25.35%,0.08,72.94%,0.316021,2026-06-08
BE,253.57,2026-06-18,10,Put,165.00,-34.93%,0.85,1.18,59,4144,-25.12%,0.01,155.30%,-0.035636,2026-06-08
BE,253.57,2026-08-21,74,Call,300.00,-18.31%,34,36.25,138,2113,-24.99%,0.07,111.22%,0.471945,2026-06-08
UMAC,25.85,2027-01-15,221,Call,30.00,-16.05%,8.1,9,354,1145,-24.97%,0.31,123.80%,0.637153,2026-06-08
RCL,272,2026-09-18,102,Put,250.00,-8.09%,17.8,18.7,6520,10255,-24.91%,0.64,51.78%,-0.322162,2026-06-08
TSLA,408.95,2026-07-17,39,Call,425.00,-3.92%,19.05,19.35,917,3762,-24.73%,0.24,47.50%,0.442458,2026-06-08
JCI,144.05,2026-06-18,10,Put,135.00,-6.28%,0.15,1.25,53,1134,-24.65%,0.05,38.48%,-0.144443,2026-06-08
KEEL,5.66,2026-07-17,39,Put,5.00,-11.66%,0.47,0.56,59,2097,-24.60%,0.03,117.47%,-0.300323,2026-06-08
LTBR,9.5,2026-06-18,10,Call,12.50,-31.58%,0.05,0.2,114,1111,-24.47%,0.1,133.66%,0.130192,2026-06-08
SLDP,2.95,2026-06-18,10,Call,3.50,-18.64%,0,0.1,43,1503,-24.47%,0.03,105.52%,0.190447,2026-06-08
DGXX,6.36,2026-09-18,102,Call,8.00,-25.79%,1.35,1.65,9,1292,-24.40%,0.01,149.98%,0.547752,2026-06-08
XENE,51.21,2026-07-17,39,Call,70.00,-36.69%,0.25,1.45,1,1148,-24.37%,0,78.47%,0.14122,2026-06-08
HIVE,3.96,2026-09-18,102,Call,5.00,-26.26%,0.7,0.8,348,5011,-24.33%,0.07,128.46%,0.50447,2026-06-08
HIVE,3.96,2026-12-18,193,Call,3.00,+24.24%,1.4,2.15,1,1495,-24.15%,0,124.59%,0.782771,2026-06-08
AMD,490.33,2026-09-18,102,Put,320.00,-34.74%,10.95,11.95,32,2034,-24.13%,0.02,76.91%,-0.101049,2026-06-08
FSLR,275.39,2026-09-18,102,Call,320.00,-16.20%,26.1,28.3,7,2931,-24.13%,0,72.43%,0.430974,2026-06-08
UBER,70.06,2026-09-18,102,Put,67.50,-3.65%,4.2,4.3,152,2145,-23.91%,0.07,39.48%,-0.374333,2026-06-08
COIN,162.11,2027-01-15,221,Put,75.00,-53.74%,3.85,4.25,43,1434,-23.84%,0.03,85.78%,-0.064374,2026-06-08
CRCL,82.53,2026-06-18,10,Put,130.00,+57.52%,46.9,48.7,17,2042,-23.75%,0.01,155.06%,-0.951528,2026-06-08
AAPL,301.54,2026-07-17,39,Put,305.00,+1.15%,10.35,10.65,3266,2572,-23.72%,1.27,23.24%,-0.532123,2026-06-08
RKT,12.35,2026-08-21,74,Call,14.00,-13.36%,0.85,0.94,14,3316,-23.72%,0,65.91%,0.401761,2026-06-08
VZ,45.44,2026-06-12,4,Put,47.00,+3.43%,1.41,1.88,378,1978,-23.72%,0.19,27.10%,-0.881429,2026-06-08
RXRX,3.32,2027-01-15,221,Call,3.50,-5.42%,1,1.39,142,1403,-23.71%,0.1,123.58%,0.673548,2026-06-08
SPG,207.34,2026-06-18,10,Put,185.00,-10.77%,0.2,0.65,70,1326,-23.49%,0.05,45.62%,-0.061003,2026-06-08
UAMY,7.81,2027-01-15,221,Call,15.00,-92.06%,1.25,1.5,14,6532,-23.46%,0,118.82%,0.413365,2026-06-08
ENVX,7.32,2026-06-18,10,Call,9.00,-22.95%,0.05,0.13,319,1910,-23.45%,0.17,108.08%,0.14455,2026-06-08
MRVL,288.85,2026-06-18,10,Put,200.00,-30.76%,1.05,1.12,732,3375,-23.40%,0.22,134.48%,-0.038639,2026-06-08
IBM,280.82,2026-07-17,39,Call,280.00,+0.29%,16.8,17.65,146,2356,-23.38%,0.06,45.61%,0.539953,2026-06-08
F,15,2027-01-15,221,Call,17.00,-13.33%,1.24,1.37,25,1183,-23.28%,0.02,44.39%,0.416223,2026-06-08
XYZ,69.92,2026-06-26,18,Call,75.00,-7.27%,1.07,1.25,59,1375,-23.18%,0.04,46.94%,0.273052,2026-06-08
AMD,490.33,2026-06-12,4,Put,467.50,-4.66%,8.1,8.55,552,1047,-23.07%,0.53,87.40%,-0.284095,2026-06-08
BMNR,16.85,2026-06-12,4,Call,18.00,-6.82%,0.2,0.23,8991,4594,-23.05%,1.96,86.36%,0.24792,2026-06-08
LLY,1149.15,2026-06-18,10,Call,"1,100.00",+4.28%,57.65,64.3,141,1656,-22.94%,0.09,39.65%,0.761501,2026-06-08
MSTR,127.2,2026-06-18,10,Put,127.00,-0.16%,6.5,7,202,1045,-22.94%,0.19,82.37%,-0.465929,2026-06-08
MSFT,411.74,2026-07-17,39,Put,430.00,+4.43%,25.6,26.5,296,1972,-22.88%,0.15,29.23%,-0.651398,2026-06-08
SNAP,5.65,2026-06-18,10,Call,5.50,+2.65%,0.31,0.32,723,1570,-22.81%,0.46,62.25%,0.626413,2026-06-08
ASTS,92.06,2027-03-19,284,Call,180.00,-95.52%,16.75,18,1,1069,-22.76%,0,109.27%,0.427323,2026-06-08
FAST,46,2026-06-18,10,Call,45.00,+2.17%,1.15,1.9,70,1444,-22.74%,0.05,30.92%,0.678114,2026-06-08
VSH,57.22,2026-07-17,39,Call,60.00,-4.86%,7.2,7.5,269,1192,-22.70%,0.23,113.20%,0.525721,2026-06-08
GEV,933.85,2026-06-18,10,Put,900.00,-3.62%,16.9,20.5,29,2848,-22.67%,0.01,54.84%,-0.322372,2026-06-08
SHEL,86.65,2026-07-17,39,Call,87.50,-0.98%,2.65,2.8,188,1877,-22.60%,0.1,27.61%,0.474146,2026-06-08
BDX,149.99,2026-06-18,10,Call,155.00,-3.34%,0.75,2.05,726,2175,-22.52%,0.33,32.89%,0.283401,2026-06-08
ASTS,92.06,2026-07-17,39,Call,170.00,-84.66%,1.55,1.94,37,1016,-22.44%,0.04,129.45%,0.109621,2026-06-08
ABNB,134.43,2026-06-18,10,Call,150.00,-11.58%,0.15,0.43,153,2754,-22.42%,0.06,43.37%,0.069848,2026-06-08
SERV,7.61,2026-07-17,39,Put,8.00,+5.12%,1.3,1.51,51,2010,-22.39%,0.03,120.38%,-0.469353,2026-06-08
SYM,44.33,2026-06-18,10,Put,47.50,+7.15%,3.6,4.5,2,1195,-22.30%,0,70.29%,-0.702207,2026-06-08
LCID,5.09,2026-07-17,39,Put,7.00,+37.52%,1.82,2.41,1,5704,-22.27%,0,111.52%,-0.754321,2026-06-08
MSTR,127.2,2026-06-26,18,Put,120.00,-5.66%,5.35,5.7,570,1199,-22.19%,0.48,79.89%,-0.33517,2026-06-08
AG,17.17,2026-07-17,39,Put,12.00,-30.11%,0.04,0.17,2,2462,-21.92%,0,74.45%,-0.05397,2026-06-08
MSFT,411.74,2026-07-17,39,Call,520.00,-26.29%,0.6,0.74,441,3880,-21.79%,0.11,37.61%,0.034902,2026-06-08
TSLA,408.95,2027-01-15,221,Call,660.00,-61.39%,14.35,14.6,162,2344,-21.76%,0.07,53.33%,0.186532,2026-06-08
MSTR,127.2,2026-06-12,4,Put,121.00,-4.87%,2.26,2.45,584,1662,-21.68%,0.35,93.67%,-0.286983,2026-06-08
BA,215.92,2026-09-18,102,Put,190.00,-12.00%,5.45,6.05,1,2317,-21.67%,0,36.10%,-0.22027,2026-06-08
RDDT,171.13,2026-06-18,10,Call,220.00,-28.56%,0.41,0.57,1462,3721,-21.63%,0.39,87.86%,0.049706,2026-06-08
GOOG,361.17,2026-08-21,74,Call,350.00,+3.09%,29.95,31.2,42,1280,-21.62%,0.03,36.39%,0.624023,2026-06-08
GME,22.26,2026-06-18,10,Call,25.00,-12.31%,0.11,0.12,3183,26855,-21.58%,0.12,56.98%,0.116518,2026-06-08
SHLS,10.88,2026-06-18,10,Call,10.00,+8.09%,1.1,1.6,77,1180,-21.39%,0.07,120.77%,0.700872,2026-06-08
DNUT,3.7,2026-08-21,74,Call,3.50,+5.41%,0.5,0.75,2,1231,-21.34%,0,81.30%,0.627654,2026-06-08
PYPL,41.26,2027-03-19,284,Put,40.00,-3.05%,4.85,5.2,33,1607,-21.11%,0.02,42.30%,-0.377745,2026-06-08
CRM,182.55,2026-07-17,39,Call,270.00,-47.90%,0.19,0.35,331,8662,-21.08%,0.04,56.76%,0.022695,2026-06-08
SATS,116.62,2026-07-17,39,Put,100.00,-14.25%,5.3,6.1,78,1258,-21.08%,0.06,88.29%,-0.245431,2026-06-08
MU,949.28,2026-06-26,18,Call,"1,050.00",-10.61%,55.2,57.25,829,2784,-21.07%,0.3,110.93%,0.390062,2026-06-08
NFLX,82.64,2026-06-18,10,Put,79.00,-4.40%,0.52,0.54,1032,7922,-21.05%,0.13,33.99%,-0.199161,2026-06-08
NOK,14.59,2026-06-26,18,Call,20.00,-37.08%,0.13,0.14,452,5540,-21.02%,0.08,100.16%,0.096628,2026-06-08
ALAB,346.33,2026-09-18,102,Call,480.00,-38.60%,41.65,44.25,2720,3163,-20.98%,0.86,110.48%,0.401563,2026-06-08
HSAI,19.16,2026-08-21,74,Call,25.00,-30.48%,0.8,1.3,166,2135,-20.96%,0.08,79.03%,0.291604,2026-06-08
RGTI,21.76,2026-06-18,10,Call,29.00,-33.27%,0.22,0.34,57,1067,-20.90%,0.05,136.97%,0.125448,2026-06-08
TTD,19.43,2026-06-18,10,Put,30.00,+54.40%,10.2,10.8,3,2012,-20.88%,0,0.00%,0,2026-06-08
CMPS,11.73,2026-08-21,74,Call,15.00,-27.88%,0.5,1.55,96,5627,-20.86%,0.02,95.79%,0.368042,2026-06-08
VIAV,48.75,2026-07-17,39,Call,60.00,-23.08%,2.7,2.85,586,1406,-20.83%,0.42,98.77%,0.319367,2026-06-08
META,585.39,2026-06-18,10,Put,635.00,+8.47%,50.4,52.65,149,1074,-20.80%,0.14,40.74%,-0.880552,2026-06-08
ALAB,346.33,2026-07-17,39,Call,360.00,-3.95%,42.15,44.7,171,1137,-20.66%,0.15,107.84%,0.530965,2026-06-08
FCEL,15.5,2026-06-18,10,Call,20.00,-29.03%,0.4,0.5,268,1528,-20.66%,0.18,164.41%,0.212718,2026-06-08
NAT,5.31,2027-01-15,221,Call,4.00,+24.67%,1.2,1.5,30,1818,-20.65%,0.02,42.51%,0.8727,2026-06-08
META,585.39,2026-06-12,4,Call,630.00,-7.62%,0.85,0.89,8032,2360,-20.65%,3.4,46.58%,0.070166,2026-06-08
MRVL,288.85,2026-06-18,10,Call,330.00,-14.25%,9.35,10.15,1018,1786,-20.62%,0.57,123.05%,0.292035,2026-06-08
PATH,11.17,2026-07-17,39,Call,12.00,-7.43%,0.65,0.7,454,2885,-20.50%,0.16,67.74%,0.422661,2026-06-08
AVGO,396.6,2026-08-21,74,Call,600.00,-51.29%,2.5,2.97,559,4872,-20.47%,0.11,56.07%,0.068166,2026-06-08
IBM,280.82,2026-07-17,39,Put,310.00,+10.39%,33.85,36.7,6,1282,-20.47%,0,44.82%,-0.723888,2026-06-08
CME,252.03,2026-07-17,39,Call,300.00,-19.03%,0.15,0.65,25,1143,-20.46%,0.02,30.97%,0.040227,2026-06-08
DINO,72.39,2026-06-18,10,Call,75.00,-3.61%,1.05,1.45,26,1633,-20.38%,0.02,47.70%,0.34209,2026-06-08
WULF,25.86,2026-06-18,10,Put,25.50,-1.39%,1.36,1.47,516,1025,-20.36%,0.5,91.89%,-0.439098,2026-06-08
MCD,277.78,2026-07-17,39,Call,285.00,-2.60%,4.95,5.25,76,1321,-20.28%,0.06,22.09%,0.379718,2026-06-08
PLTR,136.47,2026-06-18,10,Call,143.00,-4.78%,2.21,2.38,327,1091,-20.25%,0.3,52.42%,0.314227,2026-06-08
AMD,490.33,2026-07-17,39,Call,360.00,+26.58%,135.05,139.3,4,3390,-20.10%,0,77.13%,0.914262,2026-06-08
ARM,346.39,2026-06-18,10,Put,250.00,-27.83%,0.9,1.15,108,1823,-20.08%,0.06,116.07%,-0.03607,2026-06-08
WMT,119.83,2026-07-17,39,Call,120.00,-0.14%,4.2,4.35,1158,7242,-20.08%,0.16,26.77%,0.524617,2026-06-08
LBRT,28.76,2026-06-18,10,Put,30.00,+4.31%,1.45,2.15,10,1136,-20.06%,0.01,55.73%,-0.65782,2026-06-08
MSTR,127.2,2026-06-12,4,Put,127.00,-0.16%,4.6,4.8,2006,1037,-20.05%,1.93,90.88%,-0.473088,2026-06-08
MRVL,288.85,2026-07-17,39,Call,280.00,+3.06%,42.5,44.7,372,1851,-20.04%,0.2,104.33%,0.607584,2026-06-08
MARA,13.78,2026-06-12,4,Put,15.00,+8.85%,1.36,1.45,232,1853,-20.03%,0.13,102.62%,-0.768605,2026-06-08
"Downloaded from Barchart.com as of 06-08-2026 10:08pm CDT"
